stage,model,latent,branch,r_field,r_sensor,r_sensor_used,ridge,n_delays,channels,seed,n_params,nmse_train,nmse_test,nmse_latent,cos_test,energy_test,floor_test,fit_seconds,n_train,n_test,run,tag
R,podlse,pod,closed-form,3,100,100,0.001,25,all,0,300,0.7857365473243361,0.8380666047956054,0.5216166945965183,0.4137443311939596,0.44112102393479097,0.6602216749679577,3.107114791870117,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,3,100,100,0.01,25,all,0,300,0.786062760614404,0.8368682706145698,0.5181019971849048,0.4147741839521049,0.4353946071777863,0.6602216749679577,3.1025049686431885,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,3,100,100,0.1,25,all,0,300,0.7911651137201453,0.8367583915552823,0.5177797234390836,0.4142547327972501,0.40803279109257184,0.6602216749679577,3.1510493755340576,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,3,200,200,1e-06,25,all,0,600,0.7763827151473769,0.8316443394122641,0.5027802799496311,0.4189068367179074,0.45384533699306817,0.6602216749679577,3.087979555130005,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,3,200,200,0.0001,25,all,0,600,0.7764197197364219,0.8312543717923639,0.5016365103685183,0.4194401377093588,0.45267838118711917,0.6602216749679577,3.09969425201416,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,3,200,200,0.001,25,all,0,600,0.7774791298942131,0.8306231494894113,0.4997851441724685,0.4207168561380328,0.44790375555656475,0.6602216749679577,3.092817544937134,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,3,200,200,0.01,25,all,0,600,0.7814087237244949,0.8327023357733613,0.5058833684959589,0.41918879591034724,0.43959219199128446,0.6602216749679577,3.0903029441833496,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,3,200,200,0.1,25,all,0,600,0.7873712792262816,0.8349764404610795,0.5125532857745885,0.41639863304779967,0.42016613924578194,0.6602216749679577,3.1108570098876953,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,branched,pod,linear,3,,-1,0.0001,25,all,0,903,0.7895074592527491,0.8390038600692511,0.5243660207388344,0.4114276912989633,0.42676544377904607,0.660221405761096,28.715943813323975,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,branched,pod,mlp,3,,-1,0.0001,25,all,0,55427,0.7865364185427658,0.8448053502840509,0.5413816968579594,0.39623248380093246,0.3994530561982386,0.660221405761096,30.67176651954651,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,branched,pod,gru,3,,-1,0.0001,25,all,0,15171,0.781192630249865,0.8510187834842304,0.5596055950302536,0.39082284853144833,0.41442432239451027,0.660221405761096,285.6593427658081,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,4,12,12,1e-06,25,all,0,48,0.8358183510448551,0.8659199296233535,0.6488374058239047,0.37648979362326634,0.3844820870554647,0.6167809301399843,3.5929441452026367,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,4,12,12,0.0001,25,all,0,48,0.8358183619442507,0.8659177507003084,0.6488317312134302,0.3764910311911888,0.3844048048901389,0.6167809301399843,3.6750545501708984,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,4,12,12,0.001,25,all,0,48,0.835819433730164,0.8658989412650768,0.6487827454457015,0.37650176921682976,0.38370502739215867,0.6167809301399843,3.8779306411743164,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,4,12,12,0.01,25,all,0,48,0.8359196704577155,0.8658029292969063,0.6485326996620832,0.3765608142426132,0.37697182881102603,0.6167809301399843,3.884533405303955,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,4,12,12,0.1,25,all,0,48,0.8416551906017362,0.8697963613095739,0.6589328701404361,0.37406904514043215,0.3280078856581799,0.6167809301399843,3.938079357147217,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,4,25,25,1e-06,25,all,0,100,0.7985913737406077,0.8493853761786098,0.605776155735436,0.40057329561850913,0.43158854917904826,0.6167809301399843,3.854102373123169,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
