stage,model,latent,branch,r_field,r_sensor,r_sensor_used,n_delays,channels,seed,n_params,nmse_train,nmse_test,nmse_latent,floor_test,fit_seconds,n_train,n_test,run,tag
B,branched,pod,gru,64,,-1,50,all,0,19136,0.765077679712882,0.842753550434365,0.7951306643103183,0.23154603046073202,5.663021802902222,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,ae,linear,64,,-1,50,all,0,38464,0.7481735685633935,0.8569766827102208,0.9195580978006587,0.3072115188437,5.88703727722168,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,ae,mlp,64,,-1,50,all,0,101696,0.7692991103813432,0.8428036057014553,0.8886956981938103,0.3072115188437,3.809464931488037,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,ae,cnn,64,,-1,50,all,0,217120,0.7825545406365682,0.8482955011463789,0.9026783061562453,0.3072115188437,3.9138617515563965,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,ae,gru,64,,-1,50,all,0,19136,0.7723276119994696,0.8268114065707688,0.8618376443171625,0.3072115188437,4.446322202682495,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,podlse,pod,closed-form,64,,1200,100,all,0,76800,0.6184902175945055,0.9855076796610588,0.9808257855335403,0.23207692339544772,6.71698784828186,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,pod,linear,64,,-1,100,all,0,76864,0.7372401502115213,0.8790598520860057,0.8423621737527498,0.23154603046073202,6.109958171844482,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,pod,mlp,64,,-1,100,all,0,178496,0.7434120611333955,0.8620409245533656,0.8202219501582154,0.23154603046073202,4.328651189804077,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,pod,cnn,64,,-1,100,all,0,421920,0.7778194379535796,0.8614350963468906,0.8194338175379016,0.23154603046073202,4.152420997619629,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,pod,gru,64,,-1,100,all,0,19136,0.7647809033362255,0.8477011095336782,0.801567031378448,0.23154603046073202,5.873646020889282,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,ae,linear,64,,-1,100,all,0,76864,0.7130340558599947,0.9096376071270512,1.001926098024183,0.3072115188437,6.656986951828003,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,ae,mlp,64,,-1,100,all,0,178496,0.7734896315543682,0.8572066102341915,0.9094238996959779,0.3072115188437,3.867971181869507,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,ae,cnn,64,,-1,100,all,0,421920,0.7736846604420198,0.8693022393555331,0.929811000343467,0.3072115188437,4.006168603897095,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,ae,gru,64,,-1,100,all,0,19136,0.7722521057477636,0.827074359390556,0.8619284388367277,0.3072115188437,4.575364589691162,4365,1521,4p5d_10ms_yaw_0_0_0,main
C,podlse,pod,closed-form,64,,300,25,all,0,19200,0.7257036264164348,0.8393245096514069,0.7905226669468159,0.23207692339544772,4.6812050342559814,4365,1521,4p5d_10ms_yaw_0_0_0,main
C,branched,pod,linear,64,,-1,25,all,0,19264,0.7641603640882979,0.840994656759071,0.7928424884440459,0.23154603046073202,8.254853963851929,4365,1521,4p5d_10ms_yaw_0_0_0,main
C,branched,pod,mlp,64,,-1,25,all,0,63296,0.7757054450855723,0.8350508414709101,0.785110074093488,0.23154603046073202,4.067124366760254,4365,1521,4p5d_10ms_yaw_0_0_0,main
C,branched,pod,cnn,64,,-1,25,all,0,114720,0.7608095985820694,0.846822552238931,0.8004241006673907,0.23154603046073202,4.2210915088653564,4365,1521,4p5d_10ms_yaw_0_0_0,main
C,branched,pod,gru,64,,-1,25,all,0,19136,0.75801266406956,0.8512135977913775,0.8061364894274052,0.23154603046073202,5.688411235809326,4365,1521,4p5d_10ms_yaw_0_0_0,main
C,branched,ae,linear,64,,-1,25,all,0,19264,0.7668185774035322,0.8394678909831831,0.8921199883825891,0.3072115188437,5.52729868888855,4365,1521,4p5d_10ms_yaw_0_0_0,main
C,branched,ae,mlp,64,,-1,25,all,0,63296,0.7579341544315233,0.8347459787737177,0.8788434799027467,0.3072115188437,3.9126393795013428,4365,1521,4p5d_10ms_yaw_0_0_0,main
C,branched,ae,cnn,64,,-1,25,all,0,114720,0.7922377090727892,0.8427048575603706,0.8909798908964155,0.3072115188437,3.8664066791534424,4365,1521,4p5d_10ms_yaw_0_0_0,main
C,branched,ae,gru,64,,-1,25,all,0,19136,0.7719783538769768,0.8280694461704802,0.8624716724755194,0.3072115188437,4.383541107177734,4365,1521,4p5d_10ms_yaw_0_0_0,main
C,podlse,pod,closed-form,64,,150,25,disc2,0,9600,0.747218294052626,0.821077301655296,0.7667682184221927,0.23207692339544772,4.569540500640869,4365,1521,4p5d_10ms_yaw_0_0_0,main
C,branched,pod,linear,64,,-1,25,disc2,0,9664,0.7722647076061132,0.8298724628820476,0.7783734298722418,0.23154603046073202,8.557029008865356,4365,1521,4p5d_10ms_yaw_0_0_0,main
C,branched,pod,mlp,64,,-1,25,disc2,0,44096,0.7566451334149393,0.8254574305513875,0.7726298362885429,0.23154603046073202,4.4203479290008545,4365,1521,4p5d_10ms_yaw_0_0_0,main
C,branched,pod,cnn,64,,-1,25,disc2,0,113760,0.7536455732043448,0.8296905063493633,0.7781367194032425,0.23154603046073202,4.313184976577759,4365,1521,4p5d_10ms_yaw_0_0_0,main
C,branched,pod,gru,64,,-1,25,disc2,0,17984,0.7674977737012096,0.8334312945984269,0.7830031769456015,0.23154603046073202,6.087657451629639,4365,1521,4p5d_10ms_yaw_0_0_0,main
C,branched,ae,linear,64,,-1,25,disc2,0,9664,0.7806419744115741,0.8264072181040646,0.8701835812566424,0.3072115188437,5.247998476028442,4365,1521,4p5d_10ms_yaw_0_0_0,main
C,branched,ae,mlp,64,,-1,25,disc2,0,44096,0.7500160536442679,0.8195271193041456,0.8583305179155366,0.3072115188437,4.1110310554504395,4365,1521,4p5d_10ms_yaw_0_0_0,main
