stage,model,latent,branch,r_field,r_sensor,r_sensor_used,ridge,n_delays,channels,seed,n_params,nmse_train,nmse_test,nmse_latent,cos_test,energy_test,floor_test,fit_seconds,n_train,n_test,run,tag
B,podlse,pod,closed-form,64,,120,0.0001,10,all,0,7680,0.687768045358213,0.7562225522933678,0.5945828926687692,0.49864077899134274,0.5211830475301111,0.39655234855889326,9.630708694458008,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,pod,linear,64,,-1,0.0001,10,all,0,7744,0.7376286201809097,0.7954349542512629,0.6597357215936746,0.4569080528094913,0.44186200772853307,0.39596951628920496,16.38343620300293,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,pod,mlp,64,,-1,0.0001,10,all,0,40256,0.6946349325602114,0.7829335332234636,0.6390890442120261,0.4683060296220516,0.4714058223589093,0.39596951628920496,11.256321430206299,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,pod,cnn,64,,-1,0.0001,10,all,0,53280,0.6938378036721399,0.7899649640678188,0.6507017787845155,0.4626825443790026,0.5021807125145289,0.39596951628920496,10.900480270385742,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,pod,gru,64,,-1,0.0001,10,all,0,19136,0.7003523275977074,0.7957336177352491,0.6602289782071289,0.4571384062012003,0.4965035704158726,0.39596951628920496,16.429574489593506,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,ae,linear,64,,-1,0.0001,10,all,0,7744,0.7114012994587655,0.7742913987602141,0.8085093945958983,0.487689099527707,0.5657785139936525,0.46797302272275026,12.333115577697754,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,ae,mlp,64,,-1,0.0001,10,all,0,40256,0.7018413835041399,0.7813348425359308,0.8006023335698645,0.4877175405699689,0.601972388351654,0.46797302272275026,10.3255774974823,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,ae,cnn,64,,-1,0.0001,10,all,0,53280,0.7064107473457567,0.7838350408527909,0.8039615557892468,0.4876452543884537,0.6084453340079351,0.46797302272275026,10.423840999603271,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,ae,gru,64,,-1,0.0001,10,all,0,19136,0.715165894805661,0.7910978010907485,0.8065481933656977,0.4793538946356992,0.5990441023494696,0.46797302272275026,10.878759860992432,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,podlse,pod,closed-form,64,,300,0.0001,25,all,0,19200,0.6671400214324059,0.7591388299912847,0.5994038892691241,0.4965671963129756,0.5419128942222968,0.39655234855889326,9.809733867645264,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,pod,linear,64,,-1,0.0001,25,all,0,19264,0.7105115362665906,0.7761981324424255,0.6279652170364625,0.47731679443069824,0.48698130690145586,0.39596951628920496,16.541457414627075,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,pod,mlp,64,,-1,0.0001,25,all,0,63296,0.6806038181999624,0.7877210071348725,0.6469957797025047,0.46378808592242987,0.4862494811539368,0.39596951628920496,11.402029752731323,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,pod,cnn,64,,-1,0.0001,25,all,0,114720,0.6977408582895888,0.7873949642978765,0.6464573048160833,0.46573296576688,0.5064522035180165,0.39596951628920496,10.192937850952148,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,pod,gru,64,,-1,0.0001,25,all,0,19136,0.7005843543976914,0.8019678734685802,0.6705251410636998,0.45110205474086246,0.49334646832412893,0.39596951628920496,15.870901584625244,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,ae,linear,64,,-1,0.0001,25,all,0,19264,0.6965642093207774,0.7754896300401074,0.8139729772262935,0.4890425848583573,0.5843061858394841,0.46797302272275026,11.915716886520386,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,ae,mlp,64,,-1,0.0001,25,all,0,63296,0.6997347569772262,0.7827467026466601,0.8071660841988625,0.4858965724556215,0.6028175828283672,0.46797302272275026,9.992609024047852,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,ae,cnn,64,,-1,0.0001,25,all,0,114720,0.698728802221659,0.783329692560626,0.8236742470474978,0.4803488005183095,0.5652256920118587,0.46797302272275026,10.277271032333374,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,ae,gru,64,,-1,0.0001,25,all,0,19136,0.7211065044012817,0.791015459726744,0.8026437610295769,0.4831448106510253,0.6210875663969352,0.46797302272275026,10.58997893333435,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,podlse,pod,closed-form,64,,600,0.0001,50,all,0,38400,0.6440947295170064,0.7818714368272572,0.6369839250632842,0.4794187728139321,0.569086376338339,0.39655234855889326,10.172033548355103,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,pod,linear,64,,-1,0.0001,50,all,0,38464,0.702015428711291,0.784221148194271,0.6412156001319431,0.4694338249557057,0.5023662099965155,0.39596951628920496,16.802103281021118,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,pod,mlp,64,,-1,0.0001,50,all,0,101696,0.6925591304418476,0.7879480758930595,0.64737079430151,0.4630883308823448,0.46099718272425466,0.39596951628920496,11.107117176055908,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,pod,cnn,64,,-1,0.0001,50,all,0,217120,0.6823049987106095,0.7869099350003108,0.6456562564068488,0.4674068476378985,0.51537513301708,0.39596951628920496,10.270713329315186,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,pod,gru,64,,-1,0.0001,50,all,0,19136,0.7262228143325552,0.8028936845711201,0.6720541610933416,0.4488043292793646,0.45921893282199294,0.39596951628920496,14.848783254623413,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
